110060000220.0;—22х60;ГОСТ 103-2006;10.362
110060000250.0;—25х60;ГОСТ 103-2006;11.775
110060000280.0;—28х60;ГОСТ 103-2006;13.188
110060000300.0;—30х60;ГОСТ 103-2006;14.13
110060000320.0;—32х60;ГОСТ 103-2006;15.072
110060000350.0;—35х60;ГОСТ 103-2006;16.485
110060000360.0;—36х60;ГОСТ 103-2006;16.956
110060000400.0;—40х60;ГОСТ 103-2006;18.84
110060000450.0;—45х60;ГОСТ 103-2006;21.195
110060000500.0;—50х60;ГОСТ 103-2006;23.55
110060000560.0;—56х60;ГОСТ 103-2006;26.376
110063000060.0;—6х63;ГОСТ 103-2006;2.967
110065000050.0;—5х65;ГОСТ 103-2006;2.551
110065000060.0;—6х65;ГОСТ 103-2006;3.062
110065000070.0;—7х65;ГОСТ 103-2006;3.572
110065000080.0;—8х65;ГОСТ 103-2006;4.082
110065000090.0;—9х65;ГОСТ 103-2006;4.592
110065000100.0;—10х65;ГОСТ 103-2006;5.103
110065000110.0;—11х65;ГОСТ 103-2006;5.613
110065000120.0;—12х65;ГОСТ 103-2006;6.123
110065000140.0;—14х65;ГОСТ 103-2006;7.144
110065000150.0;—15х65;ГОСТ 103-2006;7.654
110065000160.0;—16х65;ГОСТ 103-2006;8.164
110065000180.0;—18х65;ГОСТ 103-2006;9.185
110065000200.0;—20х65;ГОСТ 103-2006;10.205
110065000220.0;—22х65;ГОСТ 103-2006;11.226
110065000250.0;—25х65;ГОСТ 103-2006;12.756
110065000280.0;—28х65;ГОСТ 103-2006;14.287
110065000300.0;—30х65;ГОСТ 103-2006;15.308
110065000320.0;—32х65;ГОСТ 103-2006;16.328
110065000360.0;—36х65;ГОСТ 103-2006;18.369
110065000400.0;—40х65;ГОСТ 103-2006;20.41
110065000450.0;—45х65;ГОСТ 103-2006;22.961
110065000500.0;—50х65;ГОСТ 103-2006;25.513
110065000560.0;—56х65;ГОСТ 103-2006;28.574
110065000600.0;—60х65;ГОСТ 103-2006;30.615
110070000050.0;—5х70;ГОСТ 103-2006;2.748
110070000060.0;—6х70;ГОСТ 103-2006;3.297
110070000070.0;—7х70;ГОСТ 103-2006;3.847
110070000080.0;—8х70;ГОСТ 103-2006;4.396
110070000090.0;—9х70;ГОСТ 103-2006;4.946
110070000100.0;—10х70;ГОСТ 103-2006;5.495
110070000110.0;—11х70;ГОСТ 103-2006;6.045
110070000120.0;—12х70;ГОСТ 103-2006;6.594
110070000140.0;—14х70;ГОСТ 103-2006;7.693
110070000150.0;—15х70;ГОСТ 103-2006;8.243
110070000160.0;—16х70;ГОСТ 103-2006;8.792
110070000180.0;—18х70;ГОСТ 103-2006;9.891
110070000200.0;—20х70;ГОСТ 103-2006;10.99
110070000220.0;—22х70;ГОСТ 103-2006;12.089
110070000250.0;—25х70;ГОСТ 103-2006;13.738
110070000280.0;—28х70;ГОСТ 103-2006;15.386
110070000300.0;—30х70;ГОСТ 103-2006;16.485
110070000320.0;—32х70;ГОСТ 103-2006;17.584
110070000350.0;—35х70;ГОСТ 103-2006;19.233
110070000360.0;—36х70;ГОСТ 103-2006;19.782
110070000400.0;—40х70;ГОСТ 103-2006;21.98
110070000450.0;—45х70;ГОСТ 103-2006;24.728
110070000500.0;—50х70;ГОСТ 103-2006;27.475
110070000560.0;—56х70;ГОСТ 103-2006;30.772
110070000600.0;—60х70;ГОСТ 103-2006;32.97
110075000040.0;—4х75;ГОСТ 103-2006;2.36
110075000050.0;—5х75;ГОСТ 103-2006;2.944
110075000060.0;—6х75;ГОСТ 103-2006;3.533
110075000070.0;—7х75;ГОСТ 103-2006;4.121
110075000080.0;—8х75;ГОСТ 103-2006;4.71
110075000090.0;—9х75;ГОСТ 103-2006;5.299
110075000100.0;—10х75;ГОСТ 103-2006;5.888
110075000110.0;—11х75;ГОСТ 103-2006;6.476
110075000120.0;—12х75;ГОСТ 103-2006;7.065
110075000140.0;—14х75;ГОСТ 103-2006;8.243
